id. ID da resposta;data_collection;submitdate. Data de submissão;seed. Semente;startdate. Data de início;datestamp. Data da última acção;ID de participante;Tipo de instrumento ;G01Q06. Escolha o ID da sessão;Assigned_group;Group-Solo;Type-improv;Real_duration(s);Duration_estimate[min.];Duration_estimate[sec.];PoT[slow/fast];difficulty[easy/difficult];engagementEmotional[boring/interesting];engagementAttention[distracted/focused];familiarity[unfamiliar/familiar];focoMusica[SQ001]. Estive focado na performance musical.;focoSala[SQ001]. A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.;focoPensExter[SQ001]. A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical.;Branco[SQ001]. Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo.;SecundarioMusica[SQ001]. Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical.;Probe2. Indique. por favor. qual dos seguintes estados mentais foi mais predominante neste take:;Formato audio
;PJ;2025-10-10 13:09:17;1722656889;2025-10-10 13:07:13;2025-10-10 13:09:17;PJ2bass2;Bass;Grupo - A - Familiar;Group11;Group;A;120;4;30;3.1;2.2;3.8;2.1;4.3;4.1;1.9;1.8;1;1.9;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:11:14;332710441;2025-10-10 13:07:20;2025-10-10 13:11:14;PJ2melody2;Melodic;Grupo - A - Familiar;Group11;Group;A;120;5;20;2.4;2.3;3.7;3.8;4;4;1;1.9;1.4;3.5;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:19:31;1365412721;2025-10-10 13:17:11;2025-10-10 13:19:31;PJ2drum2;Drum;Solo - A - Familiar;Group11;Solo;A;140;3;26;3.8;4.1;3.5;1.7;3.8;2.7;1.4;4.3;3.8;4.2;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 13:28:13;267888220;2025-10-10 13:25:17;2025-10-10 13:28:13;PJ2melody2;Melodic;Solo - A - Familiar;Group11;Solo;A;150;3;42;3.1;4.1;4.4;4.6;1.9;4.7;1.5;1.4;1.3;1.2;Estive focado na performance musical.;.m4a
11;PJ;2025-02-03 16:56:56;1293932503;2025-02-03 16:53:30;2025-02-03 16:56:56;oa07D;Drum;Grupo - C - Livre;Group0;Group;C;190;4;20;3;3.4;5;5;4.2;5;1;1;1;1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
12;PJ;2025-02-03 16:56:39;455720955;2025-02-03 16:53:33;2025-02-03 16:56:39;OA05M;Melodic;Grupo - C - Livre;Group0;Group;C;190;4;50;4.8;1;4.7;4.7;5;4.7;1;1.4;4.2;1;Estive focado na performance musical.;.mp3
13;PJ;2025-02-03 16:57:09;1886268383;2025-02-03 16:53:34;2025-02-03 16:57:09;oa03B;Bass;Grupo - C - Livre;Group0;Group;C;190;5;30;4.4;2;4.5;4.5;4;4.5;1;1;2;1;Estive focado na performance musical.;.mp3
14;PJ;2025-02-03 16:57:01;1007617542;2025-02-03 16:53:37;2025-02-03 16:57:01;LA06H;Harmonic;Grupo - C - Livre;Group0;Group;C;190;5;0;4.5;1.5;5;5;5;5;1;1;1.2;2;Estive focado na performance musical.;.mp3
30;PJ;2025-02-04 12:56:57;1440371977;2025-02-04 12:27:40;2025-02-04 12:56:57;hh04H;Harmonic;Grupo - C - Livre;Group1;Group;C;120;3;0;5;1.9;5;3.6;5;3.8;1.7;1.9;3.3;1.9;Estive focado na performance musical.;.mp3
31;PJ;2025-02-04 12:57:46;1807605720;2025-02-04 12:52:03;2025-02-04 12:57:46;MM04M;Melodic;Grupo - C - Livre;Group1;Group;C;120;2;15;3;4;4.5;4.6;4;5;1;1.2;1;1.2;Estive focado na performance musical.;.mp3
32;PJ;2025-02-04 12:55:02;1504670655;2025-02-04 12:52:20;2025-02-04 12:55:02;ea09D;Drum;Grupo - C - Livre;Group1;Group;C;120;1;30;5;1.2;5;5;5;5;1;1;1;1.4;Estive focado na performance musical.;.mp3
33;PJ;2025-02-04 12:56:34;421134874;2025-02-04 12:52:36;2025-02-04 12:56:34;BB04B;Bass;Grupo - C - Livre;Group1;Group;C;120;2;0;3;1;5;5;5;4.2;1;1;1;1;Estive focado na performance musical.;.mp3
55;PJ;2025-02-04 16:24:40;1879830825;2025-02-04 16:21:46;2025-02-04 16:24:40;Ao07tM;Melodic;Grupo - C - Livre;Group2;Group;C;180;6;0;3.2;2.6;3.9;3.5;4;4.4;4;1.7;1.8;1.6;Estive focado na performance musical.;.mp3
56;PJ;2025-02-04 16:24:33;1433719205;2025-02-04 16:21:48;2025-02-04 16:24:33;oa11D;Drum;Grupo - C - Livre;Group2;Group;C;180;3;33;3.3;2.4;4.4;4.3;3.6;3.9;1.8;2.3;3.3;1;Estive focado na performance musical.;.mp3
57;PJ;2025-02-04 16:24:04;1492602245;2025-02-04 16:21:56;2025-02-04 16:24:04;Oa08H;Harmonic;Grupo - C - Livre;Group2;Group;C;180;3;35;4;3.4;4.5;4.2;3.4;4.3;1.6;2.3;4;2.2;Estive focado na performance musical.;.mp3
58;PJ;2025-02-04 16:25:22;237864260;2025-02-04 16:22:19;2025-02-04 16:25:22;Bb04tB;Bass;Grupo - C - Livre;Group2;Group;C;180;3;30;4.4;3.5;4.7;4.3;2;4.8;1.6;1;1.5;1;Estive focado na performance musical.;.mp3
167;JOBRA;2025-07-04 12:19:24;1810810323;2025-07-04 12:15:20;2025-07-04 12:19:24;Jsax4;Melodic;Grupo - C - Livre;Group7;Group;C;140;10;0;4.0;2.0;5.0;2.0;4.0;5.0;1.0;1.0;1.0;4.0;Estive focado na performance musical.;.m4a
169;JOBRA;2025-07-04 12:18:32;794350849;2025-07-04 12:15:33;2025-07-04 12:18:32;Jguitar7;Harmonic;Grupo - C - Livre;Group7;Group;C;140;3;13;3.4;3.0;3.0;3.5;1.0;5.0;1.0;1.0;4.0;2.0;Estive focado na performance musical.;.m4a
170;JOBRA;2025-07-04 12:18:30;2137236050;2025-07-04 12:15:38;2025-07-04 12:18:30;Jvoice9;Melodic;Grupo - C - Livre;Group7;Group;C;140;3;5;3.1;2.7;2.7;3.5;2.3;4.0;1.9;1.8;2.0;1.7;Estive focado na performance musical.;.m4a
171;JOBRA;2025-07-04 12:18:20;1671067166;2025-07-04 12:15:58;2025-07-04 12:18:20;Jdrum7;Drum;Grupo - C - Livre;Group7;Group;C;140;3;24;5.0;4.0;2.1;5.0;4.4;5.0;2.0;4.0;2.0;3.8;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
190;JOBRA;2025-07-04 12:59:23;1381914821;2025-07-04 12:57:54;2025-07-04 12:59:23;Jdrum6;Drum;Grupo - C - Livre;Group6;Group;C;120;4;45;3.0;3.0;5.0;5.0;4.0;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
191;JOBRA;2025-07-04 12:59:24;504205140;2025-07-04 12:57:57;2025-07-04 12:59:24;Jvoice8;Melodic;Grupo - C - Livre;Group6;Group;C;120;3;32;4.0;3.1;3.7;3.4;1.7;3.6;2.1;3.5;3.7;3.3;Estive focado na performance musical.;.m4a
192;JOBRA;2025-07-04 12:59:26;1624951724;2025-07-04 12:57:58;2025-07-04 12:59:26;Jguitar5;Harmonic;Grupo - C - Livre;Group6;Group;C;120;3;5;5.0;1.0;4.7;4.2;1.5;4.4;1.6;1.7;4.0;1.2;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
193;JOBRA;2025-07-04 12:59:29;846825110;2025-07-04 12:57:59;2025-07-04 12:59:29;Jsax3;Melodic;Grupo - C - Livre;Group6;Group;C;120;5;20;5.0;3.5;4.3;5.0;5.0;4.4;1.0;1.5;1.6;2.2;Estive focado na performance musical.;.m4a
194;JOBRA;2025-07-04 13:12:41;236070851;2025-07-04 13:10:18;2025-07-04 13:12:41;Jsax1;Melodic;Grupo - C - Livre;Group3;Group;C;160;3;0;2.4;3.4;3.6;3.8;2.5;4.0;2.0;2.2;2.2;3.8;Estive focado na performance musical.;.m4a
196;JOBRA;2025-07-04 13:14:29;59177910;2025-07-04 13:10:45;2025-07-04 13:14:29;Jdrum2;Drum;Grupo - C - Livre;Group3;Group;C;160;2;15;4.0;2.0;5.0;5.0;3.5;4.8;1.0;1.0;1.0;3.1;Estive focado na performance musical.;.m4a
197;JOBRA;2025-07-04 13:15:08;1181163610;2025-07-04 13:12:54;2025-07-04 13:15:08;Jvoice1;Melodic;Grupo - C - Livre;Group3;Group;C;160;1;30;4.4;3.0;4.5;4.4;2.5;4.6;1.0;1.1;4.1;2.3;Estive focado na performance musical.;.m4a
208;JOBRA;2025-07-04 13:59:01;1439452294;2025-07-04 13:56:56;2025-07-04 13:59:01;Jdrum4;Drum;Grupo - C - Livre;Group4;Group;C;130;2;5;3.0;3.7;4.5;4.0;1.5;4.2;1.8;2.2;2.0;3.8;Estive focado na performance musical.;.m4a
209;JOBRA;2025-07-04 13:58:24;127604863;2025-07-04 13:57:00;2025-07-04 13:58:24;Jbass1;Bass;Grupo - C - Livre;Group4;Group;C;130;1;30;4.1;3.3;3.3;5.0;3.1;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
210;JOBRA;2025-07-04 13:58:42;1252600265;2025-07-04 13:57:01;2025-07-04 13:58:42;Jpiano1;Harmonic;Grupo - C - Livre;Group4;Group;C;130;3;10;3.6;1.6;3.9;4.6;3.5;5.0;1.1;1.0;3.4;2.2;Estive focado na performance musical.;.m4a
211;JOBRA;2025-07-04 13:58:40;1911774606;2025-07-04 13:57:05;2025-07-04 13:58:40;Jvoice5;Melodic;Grupo - C - Livre;Group4;Group;C;130;5;20;5.0;4.0;5.0;5.0;1.0;4.5;2.0;1.0;1.0;4.0;Estive focado na performance musical.;.m4a
220;JOBRA;2025-07-04 15:57:12;199387929;2025-07-04 15:55:36;2025-07-04 15:57:12;Jsax2;Melodic;Grupo - C - Livre;Group9;Group;C;170;5;0;4.2;1.0;3.7;5.0;5.0;4.6;1.3;1.4;1.4;1.1;Estive focado na performance musical.;.m4a
221;JOBRA;2025-07-04 15:57:03;899809186;2025-07-04 15:55:47;2025-07-04 15:57:03;Jguitar8;Harmonic;Grupo - C - Livre;Group9;Group;C;170;5;34;2.6;3.4;3.0;3.2;3.5;3.3;1.0;3.1;2.1;3.2;Estive focado na performance musical.;.m4a
222;JOBRA;2025-07-04 15:57:07;1775937943;2025-07-04 15:55:47;2025-07-04 15:57:07;Jpiano3;Harmonic;Grupo - C - Livre;Group9;Group;C;170;4;39;4.3;1.5;4.8;4.5;3.8;4.2;1.0;1.2;4.3;1.1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
223;JOBRA;2025-07-04 15:57:25;1447280906;2025-07-04 15:55:59;2025-07-04 15:57:25;Jdrum3;Drum;Grupo - C - Livre;Group9;Group;C;170;3;25;2.3;3.6;5.0;4.7;1.8;4.0;2.0;2.2;3.8;2.2;Estive focado na performance musical.;.m4a
234;JOBRA;2025-07-04 16:36:32;333616066;2025-07-04 16:33:44;2025-07-04 16:36:32;Jguitar4;Harmonic;Grupo - C - Livre;Group5;Group;C;140;3;0;2.4;4.4;4.0;4.1;2.3;4.1;2.0;2.2;2.9;3.9;Estive focado na performance musical.;.m4a
235;JOBRA;2025-07-04 16:35:37;237202405;2025-07-04 16:33:54;2025-07-04 16:35:37;Jdrum5;Drum;Grupo - C - Livre;Group5;Group;C;140;3;15;5.0;1.0;5.0;4.4;2.5;5.0;1.7;1.6;4.4;1.6;Estive focado na performance musical.;.m4a
236;JOBRA;2025-07-04 16:36:41;492979181;2025-07-04 16:34:10;2025-07-04 16:36:41;Jvoice6;Melodic;Grupo - C - Livre;Group5;Group;C;140;3;13;5;1;5;3;3;5;2;3;3;2.1;Estive focado na performance musical.;.m4a
240;JOBRA;2025-07-04 16:49:30;959721070;2025-07-04 16:48:08;2025-07-04 16:49:30;Jsax5;Melodic;Grupo - C - Livre;Group8;Group;C;130;3;10;3.0;3.5;5.0;5.0;2.5;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
241;JOBRA;2025-07-04 16:49:34;990404047;2025-07-04 16:48:17;2025-07-04 16:49:34;Jvoice10;Melodic;Grupo - C - Livre;Group8;Group;C;130;1;1;3.0;3.8;5.0;5.0;1.0;5.0;1.0;1.0;1.0;3.0;Estive focado na performance musical.;.m4a
242;JOBRA;2025-07-04 16:49:53;29427041;2025-07-04 16:48:19;2025-07-04 16:49:53;Jpiano2;Harmonic;Grupo - C - Livre;Group8;Group;C;130;3;23;2.6;2.7;4.0;4.2;3.7;4.5;2.7;2.4;2.4;2.5;Estive focado na performance musical.;.m4a
17;PJ;2025-02-03 17:17:26;1849994015;2025-02-03 17:14:28;2025-02-03 17:17:26;oa03B;Bass;Solo - C - Livre;Group0;Solo;C;130;3;30;4;2;4;4.4;2.5;4;1;1.2;3.5;3;Estive focado na performance musical.;.mp3
20;PJ;2025-02-03 17:41:09;1166630692;2025-02-03 17:39:59;2025-02-03 17:41:09;LA06H;Harmonic;Solo - C - Livre;Group0;Solo;C;160;4;0;4.5;2;5;5;4.5;5;1;1;1.5;2.5;Estive focado na performance musical.;.mp3
21;PJ;2025-02-03 18:14:09;1813495460;2025-02-03 18:12:27;2025-02-03 18:14:09;OA05M;Melodic;Solo - C - Livre;Group0;Solo;C;130;2;0;2.3;2.4;3.7;2.3;5;2.9;2.1;2.5;2.9;4.5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
24;PJ;2025-02-03 18:37:14;710439264;2025-02-03 18:32:45;2025-02-03 18:37:14;oa07D;Drum;Solo - C - Livre;Group0;Solo;C;120;3;51;2.9;2;5;4.1;4.5;5;1.4;1;5;1.4;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
29;PJ;2025-02-04 12:30:33;2123453281;2025-02-04 12:25:22;2025-02-04 12:30:33;ea09D;Drum;Solo - C - Livre;Group1;Solo;C;160;3;42;3.2;1;5;4.7;5;4.6;1.3;1.8;1;1.9;Estive focado na performance musical.;.mp3
43;PJ;2025-02-04 13:31:38;1659072754;2025-02-04 13:29:54;2025-02-04 13:31:38;hh04H;Harmonic;Solo - C - Livre;Group1;Solo;C;180;4;18;3.4;3.4;5;3.5;5;3.7;2.2;2.1;2.5;2.2;Estive focado na performance musical.;.mp3
45;PJ;2025-02-04 13:40:49;2109163959;2025-02-04 13:39:00;2025-02-04 13:40:49;BB04B;Bass;Solo - C - Livre;Group1;Solo;C;130;3;0;2;1;5;5;5;5;1;1;1;1;Estive focado na performance musical.;.mp3
49;PJ;2025-02-04 14:07:03;1231277398;2025-02-04 14:03:28;2025-02-04 14:07:03;MM04M;Melodic;Solo - C - Livre;Group1;Solo;C;180;3;10;2.7;2.7;4.6;5;4;5;1;1;1.5;1.5;Estive focado na performance musical.;.mp3
64;PJ;2025-02-04 16:45:23;1116292652;2025-02-04 16:43:11;2025-02-04 16:45:23;Bb04tB;Bass;Solo - C - Livre;Group2;Solo;C;130;2;6;4.7;4;5;4.7;1.9;4.1;1.8;1.5;1.8;1.3;Estive focado na performance musical.;.mp3
66;PJ;2025-02-04 16:59:17;1221092659;2025-02-04 16:57:17;2025-02-04 16:59:17;Ao07tM;Melodic;Solo - C - Livre;Group2;Solo;C;140;3;30;2.2;1.7;4;4.4;4.2;4.5;1.9;4.3;3.2;2.2;Estive focado na performance musical.;.wav
70;PJ;2025-02-04 17:20:27;1599386165;2025-02-04 17:19:12;2025-02-04 17:20:27;Oa08H;Harmonic;Solo - C - Livre;Group2;Solo;C;140;3;10;4.2;4;3.3;4.5;3.3;4.3;1.7;1.5;4.7;1.3;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
72;PJ;2025-02-04 17:32:24;1686231268;2025-02-04 17:30:42;2025-02-04 17:32:24;oa11D;Drum;Solo - C - Livre;Group2;Solo;C;130;3;6;2.8;4;5;4.2;3.9;4.3;1.3;1.3;1.5;1.3;Estive focado na performance musical.;.mp3
79;JOBRA;2025-06-30 11:07:18;199458110;2025-06-30 11:04:29;2025-06-30 11:07:18;Jbass1;Bass;Solo - C - Livre;Group4;Solo;C;140;2;50;2;1.5;4;4;4.3;4.5;1;1.7;1;2;Estive focado na performance musical.;.mp3
81;JOBRA;2025-06-30 11:08:54;1269600752;2025-06-30 11:06:49;2025-06-30 11:08:54;Jsax2;Melodic;Solo - C - Livre;Group9;Solo;C;130;3;11;3.9;1;5;4.2;4;4.2;1.1;1.1;1.9;4;Estive focado na performance musical.;.m4a
82;JOBRA;2025-06-30 11:12:32;1765311808;2025-06-30 11:10:49;2025-06-30 11:12:32;Jpiano1;Harmonic;Solo - C - Livre;Group4;Solo;C;140;3;30;4.3;2.8;5;3.7;2.4;4.1;1.5;1.3;3.4;2;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
89;JOBRA;2025-06-30 11:39:26;382562089;2025-06-30 11:36:23;2025-06-30 11:39:26;Jsax3;Melodic;Solo - C - Livre;Group6;Solo;C;180;4;30;3.8;2.7;4.3;4.5;5;4.7;1;1;1.6;2.2;Estive focado na performance musical.;.m4a
92;JOBRA;2025-06-30 11:44:56;1679448785;2025-06-30 11:42:52;2025-06-30 11:44:56;Jguitar4;Harmonic;Solo - C - Livre;Group5;Solo;C;175;3;0;2.5;2;5;5;2.2;5;3.3;3.9;3.6;1.5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
94;JOBRA;2025-06-30 11:48:00;1262205210;2025-06-30 11:45:18;2025-06-30 11:48:00;Jpiano2;Harmonic;Solo - C - Livre;Group8;Solo;C;150;3;30;2.8;4;5;3.7;3.7;4.3;1.6;3.5;3.5;3.5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
99;JOBRA;2025-06-30 12:08:03;1483730443;2025-06-30 12:05:08;2025-06-30 12:08:03;Jguitar5;Harmonic;Solo - C - Livre;Group6;Solo;C;170;3;8;3.9;4.5;5;3.7;3.2;2.8;1.5;2;3.1;2.2;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
100;JOBRA;2025-06-30 12:10:37;832375174;2025-06-30 12:08:43;2025-06-30 12:10:37;Jtrombone1;Melodic;Solo - C - Livre;no_group;Solo;C;150;3;37;4.3;1.7;4.3;3.8;4.3;3.5;1;1.3;1;1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
101;JOBRA;2025-06-30 12:11:37;662152602;2025-06-30 12:09:56;2025-06-30 12:11:37;Jpiano3;Harmonic;Solo - C - Livre;Group9;Solo;C;170;3;44;3.4;2.3;4.7;4.5;5;4.2;1;1.4;4.4;2.1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
107;JOBRA;2025-06-30 12:41:03;1769462216;2025-06-30 12:37:38;2025-06-30 12:41:03;Jguitar6;Harmonic;Solo - C - Livre;no_group;Solo;C;170;3;0;4.2;2.2;1.7;4.7;4;4;2.8;3.2;3.2;3.1;Estive focado na performance musical.;.mp3
109;JOBRA;2025-06-30 12:45:31;2147131140;2025-06-30 12:43:49;2025-06-30 12:45:31;Jsax5;Melodic;Solo - C - Livre;Group8;Solo;C;140;3;40;5;1;4.5;3;3.5;4;1;4;4.5;1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
113;JOBRA;2025-06-30 12:53:15;1025045421;2025-06-30 12:50:17;2025-06-30 12:53:15;Jsax1;Melodic;Solo - C - Livre;Group3;Solo;C;160;3;30;3.8;2.2;4.2;3.4;3.6;4;1.6;3.6;3.3;3.5;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
115;JOBRA;2025-06-30 13:05:23;615253932;2025-06-30 12:59:15;2025-06-30 13:05:23;Jvoice10;Melodic;Solo - C - Livre;Group8;Solo;C;130;2;31;3.3;3.5;3.5;3.3;1;4.3;1;1;3.7;1;Estive focado na performance musical.;.m4a
122;JOBRA;2025-06-30 13:25:36;547881757;2025-06-30 13:23:00;2025-06-30 13:25:36;Jvoice1;Melodic;Solo - C - Livre;Group3;Solo;C;135;2;0;3;1.7;5;4.9;4.3;4.5;1.2;1.1;4.6;3;Estive focado na performance musical.;.mp3
123;JOBRA;2025-06-30 13:25:05;837389844;2025-06-30 13:23:42;2025-06-30 13:25:05;Jguitar8;Harmonic;Solo - C - Livre;Group9;Solo;C;130;3;20;3.8;2;4.2;4.2;4.1;3.8;1;2;2.4;1.8;Estive focado na performance musical.;.mp3
128;JOBRA;2025-06-30 13:47:09;1003152786;2025-06-30 13:45:06;2025-06-30 13:47:09;Jdrum6;Drum;Solo - C - Livre;Group6;Solo;C;160;5;0;4;3.5;5;5;3.5;5;1;2;1;2;Estive focado na performance musical.;.m4a
129;JOBRA;2025-06-30 13:52:42;1178814726;2025-06-30 13:50:51;2025-06-30 13:52:42;Jvoice9;Melodic;Solo - C - Livre;Group7;Solo;C;120;1;45;3;3;3.6;3.4;3.4;3.8;2.2;2.2;2.3;3;Estive focado na performance musical.;.mp3
132;JOBRA;2025-06-30 14:00:43;743349447;2025-06-30 13:58:57;2025-06-30 14:00:43;Jvoice8;Melodic;Solo - C - Livre;Group6;Solo;C;160;5;0;3.3;3.1;3.3;3.7;2.1;3.8;2.1;2.8;3.3;2.3;Estive focado na performance musical.;.mp3
133;JOBRA;2025-06-30 15:39:46;1168063428;2025-06-30 15:35:24;2025-06-30 15:39:46;Jdrum3;Drum;Solo - C - Livre;Group9;Solo;C;180;3;2;2.4;3.5;5;3.9;1.6;4.2;2.4;3.2;3.5;2.3;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
134;JOBRA;2025-06-30 15:40:07;1320315569;2025-06-30 15:36:49;2025-06-30 15:40:07;Jguitar7;Harmonic;Solo - C - Livre;Group7;Solo;C;165;5;20;4;1.1;5;5;4.5;5;1;1;4;1;Estive focado na performance musical.;.mp3
138;JOBRA;2025-06-30 15:47:45;420520154;2025-06-30 15:46:28;2025-06-30 15:47:45;Jvoice5;Melodic;Solo - C - Livre;Group4;Solo;C;140;3;0;5;1.5;4.3;5;3.9;4;1;1;1;1;Estive focado na performance musical.;.mp3
141;JOBRA;2025-06-30 16:12:48;627961131;2025-06-30 16:04:19;2025-06-30 16:12:48;Jvoice6;Melodic;Solo - C - Livre;Group5;Solo;C;90;2;45;3.8;2;4;3;4.2;4;2;2;3.6;3;Estive focado na performance musical.;.mp3
143;JOBRA;2025-06-30 16:11:55;1301301190;2025-06-30 16:08:34;2025-06-30 16:11:55;Jvoice4;Melodic;Solo - C - Livre;no_group;Solo;C;135;2;2;3;3.5;4.1;4.5;2.1;4.1;1.7;2.1;3.5;3.8;Estive focado na performance musical.;.mp3
144;JOBRA;2025-06-30 16:16:28;1875572203;2025-06-30 16:13:47;2025-06-30 16:16:28;Jdrum2;Drum;Solo - C - Livre;Group3;Solo;C;170;3;50;3;2.2;4;3.7;4;3.9;1;1.5;2.3;4.3;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
150;JOBRA;2025-06-30 16:41:18;1976318424;2025-06-30 16:39:09;2025-06-30 16:41:18;Jdrum7;Drum;Solo - C - Livre;Group7;Solo;C;150;3;23;4.1;2.3;5;5;2.7;3.8;2.1;4.3;4.8;4.4;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
152;JOBRA;2025-06-30 16:59:43;1357326872;2025-06-30 16:55:52;2025-06-30 16:59:43;Jvoice3;Melodic;Solo - C - Livre;no_group;Solo;C;140;5;29;2.4;3.4;4.4;5;1;5;2.9;4.1;2.4;2.6;Estive focado na performance musical.;.mp3
155;JOBRA;2025-06-30 17:10:24;1931513646;2025-06-30 17:09:22;2025-06-30 17:10:24;Jvoice11;Melodic;Solo - C - Livre;no_group;Solo;C;160;4;5;3.8;2.5;3.8;3.8;5;5;1;5;1.6;1;Estive focado na performance musical.;.mp3
160;JOBRA;2025-06-30 17:29:12;1668039875;2025-06-30 17:27:18;2025-06-30 17:29:12;Jdrum5;Drum;Solo - C - Livre;Group5;Solo;C;130;2;15;4.2;2.3;4;4;4.2;4.2;2.4;2;2.2;1.9;Estive focado na performance musical.;.m4a
163;JOBRA;2025-07-04 11:43:53;1723785905;2025-07-04 11:39:30;2025-07-04 11:43:53;Jsax4;Melodic;Solo - C - Livre;Group7;Solo;C;130;5;30;3.6;2.4;4;2;1;3;1;2;3;5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
172;JOBRA;2025-07-04 12:25:57;1458528199;2025-07-04 12:22:19;2025-07-04 12:25:57;Jdrum4;Drum;Solo - C - Livre;Group4;Solo;C;140;2;10;3.4;3.4;3.5;2.2;2;2;4.4;3.4;3.2;4.2;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
;PJ;2025-10-10 10:55:50;342768237;2025-10-10 10:53:51;2025-10-10 10:55:50;PJ2harmonic1;Harmonic;Solo - C - Livre;Group10;Solo;C;170;4;7;3.5;1.4;4.5;4.6;4.3;4.2;1.6;1.6;4.2;1.6;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:23:12;67264097;2025-10-10 11:19:41;2025-10-10 11:23:12;PJ2melodic1;Melodic;Grupo - C - Livre;Group10;Group;C;180;3;30;3.7;2.1;4.1;3.9;4.6;4.4;1.8;1.6;1.7;1.3;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:21:10;1600055350;2025-10-10 11:19:42;2025-10-10 11:21:10;PJ2harmonic1;Harmonic;Grupo - C - Livre;Group10;Group;C;180;3;7;4;2.7;4.4;5;3.5;5;1.1;1.2;3.9;1.2;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:24:26;1091435598;2025-10-10 11:19:48;2025-10-10 11:24:26;PJ2bass1;Bass;Grupo - C - Livre;Group10;Group;C;180;4;50;3.9;2.2;4.5;3;3.9;3.7;2.4;2.6;3.6;3;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:49:48;1652728349;2025-10-10 11:47:16;2025-10-10 11:49:48;PJ2melodic1;Melodic;Solo - C - Livre;Group10;Solo;C;160;3;10;2.2;3.5;4;2.6;3.6;4.1;3.3;3.4;2;3.6;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 11:55:38;1410959543;2025-10-10 11:53:29;2025-10-10 11:55:38;PJ2bass1;Bass;Solo - C - Livre;Group10;Solo;C;140;4;0;3.2;2.7;3.3;3.3;3;3.7;4;3.2;3.9;3.6;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:27:16;134284412;2025-10-10 12:25:09;2025-10-10 12:27:16;PJ2bass2;Bass;Solo - C - Livre;Group11;Solo;C;130;2;0;2.4;2.9;4.3;3.9;3.5;3.7;2.2;1.9;3.3;1.8;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
;PJ;2025-10-10 12:40:37;356653483;2025-10-10 12:38:20;2025-10-10 12:40:37;pj2harmonic2;Harmonic;Solo - C - Livre;Group11;Solo;C;170;4;6;3;2.5;4.8;4.1;4.2;4;1.5;3;1.5;3.1;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:00:32;1909806003;2025-10-10 12:57:58;2025-10-10 13:00:32;PJ2drum2;Drum;Grupo - C - Livre;Group11;Group;C;180;4;4;2;2;4.2;3.6;4.2;4.3;2.3;2.5;1.9;3.5;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:00:41;1182059276;2025-10-10 12:57:58;2025-10-10 13:00:41;PJ2bass2;Bass;Grupo - C - Livre;Group11;Group;C;180;4;0;2.4;2.6;3.8;2.5;3.7;3.9;3.1;3.9;4;3.9;Estive focado na performance musical.;.m4a
