"ID da resposta","Data de submissão","Última página","Idioma inicial","Semente","Data de início","Data da última acção","Introduza o seu ID de participante.  Chave para ID: Última letra do teu primeiro nome + Última letra do primeiro nome da tua mãe + mês de aniversário  Exemplo: João, Maria, Setembro = oa09 ","Escolha o ID da sessão","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","{((gravarsessao_fim-gravarsessao_inicio) / 1000)} ","Durante a sessão marcou {gravarsessao_count.shown} momentos.     Use o campo seguinte para descrever brevemente o que foi relevante em cada momento.  ","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 1]","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 2]","Durante esta improvisação...\ 												'); 			});	 		}); 	}    [quão lento/rápido passou o tempo?]","Quão fácil/difícil foi a execução da tarefa pedida?\ 												'); 			});	 		}); 	}    []","Quão aborrecida/interessante foi esta tarefa?\ 												'); 			});	 		}); 	}    []","Quão distraído(a) / concentrado(a) esteve nesta tarefa?\ 												'); 			});	 		}); 	}    []","Quão familiar era esta tarefa?\ 												'); 			});	 		}); 	}    []","Estive focado na performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical. \ 												'); 			});	 		}); 	}    []","Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo. \ 												'); 			});	 		}); 	}    []","Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical. \ 												'); 			});	 		}); 	}    []","Indique, por favor, qual dos seguintes estados mentais foi mais predominante neste take:"
"177","2025-07-04 12:33:08","5","pt","1303124598","2025-07-04 12:30:15","2025-07-04 12:33:08","jdrum4","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","0 segundos","3.3","3.2","3.7","2.2","2.4","3.5","3.2","2.5","2.3","3.7","Estive focado em aspetos secundários e interferentes da performance musical."
"178","2025-07-04 12:33:02","5","pt","793211599","2025-07-04 12:30:55","2025-07-04 12:33:02","Jvoice9","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","0 segundos","2.7","3","3","2.8","3","3.6","2.2","2.5","2.2","2.5","Estive focado em aspetos secundários e interferentes da performance musical."
"179","2025-07-04 12:33:29","5","pt","354356788","2025-07-04 12:30:55","2025-07-04 12:33:29","Jsax4","Grupo - A - Familiar",,,,,"NAN",,"7 minutos","20 segundos","5","4","5","2","5","4","2","2","1","4","Estive focado na performance musical."
"180","2025-07-04 12:32:47","5","pt","1426774022","2025-07-04 12:30:56","2025-07-04 12:32:47","jguitar10","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","20 segundos","3.6","1","4","5","4.4","4.5","1","1","1","1","Estive focado na performance musical."
"181","2025-07-04 12:32:58","5","pt","1043998658","2025-07-04 12:30:59","2025-07-04 12:32:58","Jdrum7","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","0 segundos","4.2","1.3","5","3.9","5","2","4.2","4.1","1.9","4","Estive focado em algo não diretamente relacionado com a performance musical."
"182","2025-07-04 12:48:32","5","pt","1935158255","2025-07-04 12:46:35","2025-07-04 12:48:32","Jdrum6 ","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","15 segundos","3","4","5","5","1","5","1","1","1","1","Estive focado na performance musical."
"183","2025-07-04 12:48:49","5","pt","1299077827","2025-07-04 12:46:40","2025-07-04 12:48:49","Jvoice8","Grupo - B - Não familiar",,,,,"NAN",,"6 minutos","4 segundos","3.4","3.6","2.4","1.7","1.1","2.4","1.9","3.7","3.6","2.6","Estive focado em algo não diretamente relacionado com a performance musical."
"184","2025-07-04 12:49:14","5","pt","2072528591","2025-07-04 12:46:48","2025-07-04 12:49:14","oa02","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","30 segundos","3.1","4","4","5","3.5","4.5","1","1","2.4","1.3","Estive focado em aspetos secundários e interferentes da performance musical."
"185","2025-07-04 12:48:33","5","pt","1212491926","2025-07-04 12:46:50","2025-07-04 12:48:33","Jguitar5","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","11 segundos","2.5","3.7","2.5","2","2.6","3.4","3.4","3.6","3.9","3.6","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"186","2025-07-04 12:54:40","5","pt","322256082","2025-07-04 12:53:23","2025-07-04 12:54:40","Jdrum6 ","Grupo - A - Familiar",,,,,"NAN",,"5 minutos","0 segundos","3","1","4","5","5","5","1","1","1","1","Estive focado na performance musical."
"187","2025-07-04 12:55:11","5","pt","823885102","2025-07-04 12:53:30","2025-07-04 12:55:11","oa02","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","30 segundos","4","2.7","4.5","3.9","5","4.6","1","1","1.7","3","Estive focado em aspetos secundários e interferentes da performance musical."
"188","2025-07-04 12:54:48","5","pt","1730377412","2025-07-04 12:53:35","2025-07-04 12:54:48","Jguitar5","Solo - A - Familiar",,,,,"NAN",,"5 minutos","8 segundos","4.1","2.1","3.6","3.5","4.7","4","2.4","1.8","2.7","3.3","Estive focado na performance musical."
"189","2025-07-04 12:54:56","5","pt","1233496695","2025-07-04 12:53:40","2025-07-04 12:54:56","Jvoice8","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","41 segundos","3.5","2.6","3","3.4","3.7","3.5","2.1","2.3","3.5","3.2","Estive focado na performance musical."
"190","2025-07-04 12:59:23","5","pt","1381914821","2025-07-04 12:57:54","2025-07-04 12:59:23","Jdrum6 ","Grupo - C - Livre",,,,,"NAN",,"4 minutos","45 segundos","3","3","5","5","4","5","1","1","1","1","Estive focado na performance musical."
"191","2025-07-04 12:59:24","5","pt","504205140","2025-07-04 12:57:57","2025-07-04 12:59:24","Jvoice8","Grupo - C - Livre",,,,,"NAN",,"3 minutos","32 segundos","4","3.1","3.7","3.4","1.7","3.6","2.1","3.5","3.7","3.3","Estive focado na performance musical."
"192","2025-07-04 12:59:26","5","pt","1624951724","2025-07-04 12:57:58","2025-07-04 12:59:26","Jguitar5","Solo - C - Livre",,,,,"NAN",,"3 minutos","5 segundos","5","1","4.7","4.2","1.5","4.4","1.6","1.7","4","1.2","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"193","2025-07-04 12:59:29","5","pt","846825110","2025-07-04 12:57:59","2025-07-04 12:59:29","oa02","Grupo - C - Livre",,,,,"NAN",,"5 minutos","20 segundos","5","3.5","4.3","5","5","4.4","1","1.5","1.6","2.2","Estive focado na performance musical."
"194","2025-07-04 13:12:41","5","pt","236070851","2025-07-04 13:10:18","2025-07-04 13:12:41","Jsax1","Grupo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","2.4","3.4","3.6","3.8","2.5","4","2","2.2","2.2","3.8","Estive focado na performance musical."
"195",,"2","pt","190195609","2025-07-04 13:10:40","2025-07-04 13:12:03","J Voice1","Grupo - A - Familiar",,,,,"NAN",,"","",,,,,,,,,,,
"196","2025-07-04 13:14:29","5","pt","59177910","2025-07-04 13:10:45","2025-07-04 13:14:29","JDRUM2","Grupo - C - Livre",,,,,"NAN",,"2 minutos","15 segundos","4","2","5","5","3.5","4.8","1","1","1","3.1","Estive focado na performance musical."
"197","2025-07-04 13:15:08","5","pt","1181163610","2025-07-04 13:12:54","2025-07-04 13:15:08","J voice 1","Grupo - C - Livre",,,,,"NAN",,"1 minutos","30 segundos","4.4","3","4.5","4.4","2.5","4.6","1","1.1","4.1","2.3","Estive focado na performance musical."
"198","2025-07-04 13:21:55","5","pt","2088324334","2025-07-04 13:18:56","2025-07-04 13:21:55","J voice1","Grupo - B - Não familiar",,,,,"NAN",,"1 minutos","0 segundos","5","5","2.3","2.2","2.4","4","1.4","3.7","4.8","1.9","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"199","2025-07-04 13:21:10","5","pt","1912707372","2025-07-04 13:19:01","2025-07-04 13:21:10","Jsax1","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","3.8","2.4","4","3.4","4","4.2","2","2.4","2.7","3.6","Estive focado em aspetos secundários e interferentes da performance musical."
"200","2025-07-04 13:21:32","5","pt","1642565616","2025-07-04 13:19:05","2025-07-04 13:21:32","JDRUM","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","22 segundos","3.1","3","3.6","3.6","4.4","3.9","1","3.5","2","3","Estive focado na performance musical."
"201","2025-07-04 13:28:40","5","pt","1993370943","2025-07-04 13:26:50","2025-07-04 13:28:40","JDRUM2","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","30 segundos","3.2","2.1","4.1","4.1","4.2","4.1","1","1","1.3","3.1","Estive focado na performance musical."
"202","2025-07-04 13:29:17","5","pt","994221282","2025-07-04 13:27:02","2025-07-04 13:29:17","Jsax1 ","Grupo - A - Familiar",,,,,"NAN",,"1 minutos","30 segundos","3","1.8","3.4","3.2","4.8","4.2","2","3.4","2.4","3.8","Estive focado na performance musical."
"203","2025-07-04 13:30:35","5","pt","1543741959","2025-07-04 13:27:11","2025-07-04 13:30:35","J voice ","Grupo - A - Familiar",,,,,"NAN",,"1 minutos","0 segundos","1.9","4","3","2.2","3.6","3","1.6","3","4","2.5","Estive focado em algo não diretamente relacionado com a performance musical."
"204","2025-07-04 13:52:35","5","pt","936778573","2025-07-04 13:49:58","2025-07-04 13:52:35","Jpiano1","Grupo - A - Familiar",,,,,"NAN",,"5 minutos","10 segundos","2.3","4.6","2.3","3.2","5","5","1","2.1","1","1.8","Estive focado na performance musical."
"205","2025-07-04 13:52:03","5","pt","1055333902","2025-07-04 13:50:07","2025-07-04 13:52:03","jbass1","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","1.4","1","1.2","2","5","4.1","1","1","4.5","1","Estive focado na performance musical."
"206","2025-07-04 13:53:46","5","pt","602559361","2025-07-04 13:50:16","2025-07-04 13:53:46","jdrum4","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","25 segundos","3","1.8","3.5","3.7","4.5","4.5","3.8","3.3","1.5","3","Estive focado na performance musical."
"207","2025-07-04 13:52:27","5","pt","330373077","2025-07-04 13:50:42","2025-07-04 13:52:27","jvoice5","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","15 segundos","3","1.5","3","3","5","4","1","2","2","4","Estive focado em aspetos secundários e interferentes da performance musical."
"208","2025-07-04 13:59:01","5","pt","1439452294","2025-07-04 13:56:56","2025-07-04 13:59:01","jdrum4","Grupo - C - Livre",,,,,"NAN",,"2 minutos","5 segundos","3","3.7","4.5","4","1.5","4.2","1.8","2.2","2","3.8","Estive focado na performance musical."
"209","2025-07-04 13:58:24","5","pt","127604863","2025-07-04 13:57:00","2025-07-04 13:58:24","jbass1","Grupo - C - Livre",,,,,"NAN",,"1 minutos","30 segundos","4.1","3.3","3.3","5","3.1","5","1","1","1","1","Estive focado na performance musical."
"210","2025-07-04 13:58:42","5","pt","1252600265","2025-07-04 13:57:01","2025-07-04 13:58:42","Jpiano1","Grupo - C - Livre",,,,,"NAN",,"3 minutos","10 segundos","3.6","1.6","3.9","4.6","3.5","5","1.1","1","3.4","2.2","Estive focado na performance musical."
"211","2025-07-04 13:58:40","5","pt","1911774606","2025-07-04 13:57:05","2025-07-04 13:58:40","jvoice5","Grupo - C - Livre",,,,,"NAN",,"5 minutos","20 segundos","5","4","5","5","1","4.5","2","1","1","4","Estive focado na performance musical."
"212","2025-07-04 14:03:59","5","pt","1981479644","2025-07-04 14:02:53","2025-07-04 14:03:59","jbass1","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","0 segundos","3.9","1.5","2","5","5","5","1","1","1","1","Estive focado na performance musical."
"213","2025-07-04 14:04:46","5","pt","727226838","2025-07-04 14:02:57","2025-07-04 14:04:46","Jpiano1","Grupo - B - Não familiar",,,,,"NAN",,"6 minutos","11 segundos","1.7","3.9","1.9","2.6","3.9","5","1","1","1.7","2","Estive focado na performance musical."
"214","2025-07-04 14:05:10","5","pt","433132516","2025-07-04 14:02:58","2025-07-04 14:05:10","jdrum4","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","5 segundos","3","1.8","4","3.8","3.5","4","4.5","2.4","2.2","3.8","Estive focado em aspetos secundários e interferentes da performance musical."
"215","2025-07-04 14:04:32","5","pt","1382391542","2025-07-04 14:03:07","2025-07-04 14:04:32","jvoice5","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","10 segundos","1","5","2","3","1","5","1","4","4","4","Estive focado na performance musical."
"216","2025-07-04 15:51:51","5","pt","683690882","2025-07-04 15:49:58","2025-07-04 15:51:51","Jsax2","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","10 segundos","3.8","5","1","2","5","1.3","4.2","2.1","4.2","4.1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"217","2025-07-04 15:51:23","5","pt","507572537","2025-07-04 15:49:58","2025-07-04 15:51:23","jguitar8 ","Grupo - A - Familiar",,,,,"NAN",,"6 minutos","15 segundos","3.8","2.1","4.3","3.7","4.4","4.2","1","3.4","1.3","3.4","Estive focado na performance musical."
"218","2025-07-04 15:51:44","5","pt","1344978899","2025-07-04 15:49:59","2025-07-04 15:51:44","Jpiano3","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","47 segundos","4.4","2.4","4.5","4.5","3.7","4","1","1.2","4.3","1.3","Estive focado na performance musical."
"219","2025-07-04 15:51:50","5","pt","1322994412","2025-07-04 15:50:03","2025-07-04 15:51:50","Jdrum3","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","40 segundos","4","1.3","4.1","4.5","5","4.4","3.6","1.8","4","1.7","Estive focado na performance musical."
"220","2025-07-04 15:57:12","5","pt","199387929","2025-07-04 15:55:36","2025-07-04 15:57:12","Jsax2","Grupo - C - Livre",,,,,"NAN",,"5 minutos","0 segundos","4.2","1","3.7","5","5","4.6","1.3","1.4","1.4","1.1","Estive focado na performance musical."
"221","2025-07-04 15:57:03","5","pt","899809186","2025-07-04 15:55:47","2025-07-04 15:57:03","Jguitar8 ","Grupo - C - Livre",,,,,"NAN",,"5 minutos","34 segundos","2.6","3.4","3","3.2","3.5","3.3","1","3.1","2.1","3.2","Estive focado na performance musical."
"222","2025-07-04 15:57:07","5","pt","1775937943","2025-07-04 15:55:47","2025-07-04 15:57:07","Jpiano3","Grupo - C - Livre",,,,,"NAN",,"4 minutos","39 segundos","4.3","1.5","4.8","4.5","3.8","4.2","1","1.2","4.3","1.1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"223","2025-07-04 15:57:25","5","pt","1447280906","2025-07-04 15:55:59","2025-07-04 15:57:25","Jdrum3","Grupo - C - Livre",,,,,"NAN",,"3 minutos","25 segundos","2.3","3.6","5","4.7","1.8","4","2","2.2","3.8","2.2","Estive focado na performance musical."
"224","2025-07-04 16:05:04","5","pt","2006954917","2025-07-04 16:03:14","2025-07-04 16:05:04","Jpiano3","Grupo - B - Não familiar",,,,,"NAN",,"5 minutos","54 segundos","3.5","4.2","4","3.9","2.5","3.6","1","1.2","4.1","1.4","Estive focado na performance musical."
"225","2025-07-04 16:05:00","5","pt","1402145066","2025-07-04 16:03:20","2025-07-04 16:05:00","Jdrum3","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","40 segundos","2.1","4.1","4.9","2.2","3.3","4.1","2.1","3.6","3.7","3.6","Estive focado em aspetos secundários e interferentes da performance musical."
"226","2025-07-04 16:04:48","5","pt","897065024","2025-07-04 16:03:20","2025-07-04 16:04:48","Jsax2","Grupo - B - Não familiar",,,,,"NAN",,"6 minutos","12 segundos","3.7","1","4.7","5","5","5","1.6","1","1.4","1.7","Estive focado na performance musical."
"227","2025-07-04 16:04:22","5","pt","989497465","2025-07-04 16:03:25","2025-07-04 16:04:22","Jguitar8 ","Grupo - B - Não familiar",,,,,"NAN",,"7 minutos","13 segundos","2.4","3.7","2.5","3","3.3","3.5","1","3.6","1.5","3.4","Estive focado em algo não diretamente relacionado com a performance musical."
"228","2025-07-04 16:17:30","5","pt","430767070","2025-07-04 16:15:14","2025-07-04 16:17:30","Jguitar4","Grupo - B - Não familiar",,,,,"NAN",,"5 minutos","0 segundos","3","2","5","4","4.5","4.1","1.7","1.8","2.2","1.5","Estive focado na performance musical."
"229","2025-07-04 16:17:59","5","pt","818299525","2025-07-04 16:15:50","2025-07-04 16:17:59","Jdrums5","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","15 segundos","3.9","2.4","3.8","4.4","4.2","4.2","2.2","2.3","2.3","4.1","Estive focado na performance musical."
"230","2025-07-04 16:18:11","5","pt","1200540801","2025-07-04 16:15:53","2025-07-04 16:18:11","Jvoice6","Grupo - B - Não familiar",,,,,"NAN",,"5 minutos","57 segundos","2.1","3.4","4","3.8","1.6","4.1","1.8","2.1","3","2.9","Estive focado em aspetos secundários e interferentes da performance musical."
"231","2025-07-04 16:23:30","5","pt","477001051","2025-07-04 16:22:00","2025-07-04 16:23:30","Jguitar4","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","3.9","1.9","5","3","4","4.4","2.4","1.8","1.9","2.2","Estive focado na performance musical."
"232","2025-07-04 16:24:17","5","pt","1457898472","2025-07-04 16:22:17","2025-07-04 16:24:17","Jdrum5","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","12 segundos","4","1.6","4.2","4","4","5","1.7","1.6","1.7","1.5","Estive focado na performance musical."
"233","2025-07-04 16:30:17","5","pt","418741250","2025-07-04 16:28:18","2025-07-04 16:30:17","Jvoice6","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","36 segundos","5","2.1","4.4","3.7","4.6","4.5","1.8","3","2","3","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"234","2025-07-04 16:36:32","5","pt","333616066","2025-07-04 16:33:44","2025-07-04 16:36:32","Jguitar4","Grupo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","2.4","4.4","4","4.1","2.3","4.1","2","2.2","2.9","3.9","Estive focado na performance musical."
"235","2025-07-04 16:35:37","5","pt","237202405","2025-07-04 16:33:54","2025-07-04 16:35:37","Jdrum5 ","Grupo - C - Livre",,,,,"NAN",,"3 minutos","15 segundos","5","1","5","4.4","2.5","5","1.7","1.6","4.4","1.6","Estive focado na performance musical."
"236","2025-07-04 16:36:41","5","pt","492979181","2025-07-04 16:34:10","2025-07-04 16:36:41","Jvoice6","Grupo - C - Livre",,,,,"NAN",,"3 minutos","13 segundos","5","1","5","3","3","5","2","3","3","2.1","Estive focado na performance musical."
"237","2025-07-04 16:45:04","5","pt","539070455","2025-07-04 16:42:28","2025-07-04 16:45:04","Jsax5","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","40 segundos","3","2","2","4.5","5","4.5","1","1.5","3.5","1","Estive focado na performance musical."
"238","2025-07-04 16:44:18","5","pt","1999651537","2025-07-04 16:42:39","2025-07-04 16:44:18","Jvoice10","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","3 segundos","2.8","3","2.8","3","5","3.3","1","2.1","3.7","3.8","Estive focado em aspetos secundários e interferentes da performance musical."
"239","2025-07-04 16:45:07","5","pt","2107371529","2025-07-04 16:42:54","2025-07-04 16:45:07","Jpiano2","Grupo - A - Familiar",,,,,"NAN",,"2 minutos","30 segundos","3.5","1.6","2.3","2.5","3.7","3.4","3.4","3.4","4","3.5","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"240","2025-07-04 16:49:30","5","pt","959721070","2025-07-04 16:48:08","2025-07-04 16:49:30","Jsax5 ","Grupo - C - Livre",,,,,"NAN",,"3 minutos","10 segundos","3","3.5","5","5","2.5","5","1","1","1","1","Estive focado na performance musical."
"241","2025-07-04 16:49:34","5","pt","990404047","2025-07-04 16:48:17","2025-07-04 16:49:34","Jvoice10","Grupo - C - Livre",,,,,"NAN",,"1 minutos","1 segundos","3","3.8","5","5","1","5","1","1","1","3","Estive focado na performance musical."
"242","2025-07-04 16:49:53","5","pt","29427041","2025-07-04 16:48:19","2025-07-04 16:49:53","Jpiano2","Grupo - C - Livre",,,,,"NAN",,"3 minutos","23 segundos","2.6","2.7","4","4.2","3.7","4.5","2.7","2.4","2.4","2.5","Estive focado na performance musical."
"243","2025-07-04 16:54:54","5","pt","1728883720","2025-07-04 16:53:38","2025-07-04 16:54:54","Jsax5 ","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","4","1","4","4","4.1","4.5","1","2.7","3.5","1","Estive focado na performance musical."
"244","2025-07-04 16:55:02","5","pt","368713848","2025-07-04 16:53:42","2025-07-04 16:55:02","Jpiano2","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","30 segundos","2.6","3.3","3.8","4.6","3.5","4.5","1.9","2.3","2.3","4.3","Estive focado na performance musical."
"245","2025-07-04 16:54:58","5","pt","1943266455","2025-07-04 16:53:46","2025-07-04 16:54:58","Jvoice10","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","2 segundos","3","3.9","3","4.1","2.2","4.5","1","1","1","1","Estive focado na performance musical."
"246",,,"pt","1392985570","2025-07-14 17:34:50","2025-07-14 17:34:50",,,,,,,,,"","",,,,,,,,,,,
"247","2025-10-10 10:48:57","5","pt","44549220","2025-10-10 10:46:22","2025-10-10 10:48:57","PJ2harmonic1","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","7 segundos","3.9","2.4","3.9","4.2","3.6","3.6","1","2.1","2.2","1.8","Estive focado na performance musical."
"248","2025-10-10 10:55:50","5","pt","342768237","2025-10-10 10:53:51","2025-10-10 10:55:50","PJ2harmonic1","Solo - C - Livre",,,,,"NAN",,"4 minutos","7 segundos","3.5","1.4","4.5","4.6","4.3","4.2","1.6","1.6","4.2","1.6","Estive focado na performance musical."
"249","2025-10-10 11:01:17","5","pt","1118826226","2025-10-10 11:00:04","2025-10-10 11:01:17","PJ2harmonic1","Solo - A - Familiar",,,,,"NAN",,"4 minutos","7 segundos","4.1","2.4","3.7","4.1","4.4","4.2","2.8","2.1","2.4","1.4","Estive focado na performance musical."
"250","2025-10-10 11:23:12","5","pt","67264097","2025-10-10 11:19:41","2025-10-10 11:23:12","PJ2melodic1","Grupo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","3.7","2.1","4.1","3.9","4.6","4.4","1.8","1.6","1.7","1.3","Estive focado na performance musical."
"251","2025-10-10 11:21:10","5","pt","1600055350","2025-10-10 11:19:42","2025-10-10 11:21:10","PJ2HARMONIC1 ","Grupo - C - Livre",,,,,"NAN",,"3 minutos","7 segundos","4","2.7","4.4","5","3.5","5","1.1","1.2","3.9","1.2","Estive focado na performance musical."
"252","2025-10-10 11:24:26","5","pt","1091435598","2025-10-10 11:19:48","2025-10-10 11:24:26","pj2bass1","Grupo - C - Livre",,,,,"NAN",,"4 minutos","50 segundos","3.9","2.2","4.5","3","3.9","3.7","2.4","2.6","3.6","3","Estive focado na performance musical."
"253","2025-10-10 11:33:46","5","pt","1606069477","2025-10-10 11:30:38","2025-10-10 11:33:46","PJ2melodic1","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","10 segundos","3.4","2.2","3.7","4.1","4.2","4.6","1.8","1.7","3.5","1.5","Estive focado em aspetos secundários e interferentes da performance musical."
"254","2025-10-10 11:32:12","5","pt","1733401239","2025-10-10 11:30:38","2025-10-10 11:32:12","PJ2HARMONIC1 ","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","7 segundos","4.5","2.7","4.3","4.7","4","4.8","1.4","1.1","1.4","1.4","Estive focado na performance musical."
"255","2025-10-10 11:33:27","5","pt","1094624644","2025-10-10 11:30:47","2025-10-10 11:33:27","pj2bass1","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","45 segundos","3","3","3.5","3","4.4","2.4","2.3","2.5","4","2.5","Estive focado em algo não diretamente relacionado com a performance musical."
"256","2025-10-10 11:40:18","5","pt","1663597566","2025-10-10 11:38:23","2025-10-10 11:40:18","PJ2melodic1","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","26 segundos","3.3","3.5","4","4.3","2.6","4.6","1.1","1.6","1.4","1","Estive focado na performance musical."
"257","2025-10-10 11:39:43","5","pt","986367082","2025-10-10 11:38:29","2025-10-10 11:39:43","PJ2HARMONIC1 ","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","7 segundos","4","2.4","4.6","4.6","3.7","4.5","1.2","1.1","2.1","1.2","Estive focado em aspetos secundários e interferentes da performance musical."
"258","2025-10-10 11:42:12","5","pt","1450637501","2025-10-10 11:38:32","2025-10-10 11:42:12","pj2bass1","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","3","2.2","3.3","3.5","2.5","3.5","3.7","3.6","3.1","3.6","Estive focado na performance musical."
"259","2025-10-10 11:49:48","5","pt","1652728349","2025-10-10 11:47:16","2025-10-10 11:49:48","PJmelodic1","Solo - C - Livre",,,,,"NAN",,"3 minutos","10 segundos","2.2","3.5","4","2.6","3.6","4.1","3.3","3.4","2","3.6","Estive focado em aspetos secundários e interferentes da performance musical."
"260","2025-10-10 11:50:28","5","pt","344534815","2025-10-10 11:47:30","2025-10-10 11:50:28","pj2bass1","Solo - A - Familiar",,,,,"NAN",,"5 minutos","0 segundos","2.5","3","3.5","3.8","3","4","3.5","3.5","4","3.5","Estive focado na performance musical."
"261","2025-10-10 11:55:00","5","pt","1136270981","2025-10-10 11:53:15","2025-10-10 11:55:00","PJ2melodic1","Solo - A - Familiar",,,,,"NAN",,"2 minutos","30 segundos","2.5","2.5","3.5","3.5","4.1","3.7","1","2.5","3.6","3.5","Estive focado na performance musical."
"262","2025-10-10 11:55:38","5","pt","1410959543","2025-10-10 11:53:29","2025-10-10 11:55:38","pj2bass1","Solo - C - Livre",,,,,"NAN",,"4 minutos","0 segundos","3.2","2.7","3.3","3.3","3","3.7","4","3.2","3.9","3.6","Estive focado na performance musical."
"263","2025-10-10 12:00:56","5","pt","1473081457","2025-10-10 11:58:45","2025-10-10 12:00:56","pj2bass1 ","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","3","2","3.5","3.4","3","4","3.5","4.3","4.1","3.5","Estive focado na performance musical."
"264","2025-10-10 12:00:39","5","pt","102006496","2025-10-10 11:59:21","2025-10-10 12:00:39","PJ2melodic1","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","2.7","4.5","3.7","3.9","2","4.6","1.3","3.4","1.8","3.6","Estive focado na performance musical."
"265","2025-10-10 12:20:07","5","pt","967795170","2025-10-10 12:16:50","2025-10-10 12:20:07","PJ2Bass2","Solo - A - Familiar",,,,,"NAN",,"1 minutos","40 segundos","2","2.9","4.1","3.9","3.8","3.7","4.1","3.8","3.7","3","Estive focado na performance musical."
"266","2025-10-10 12:25:33","5","pt","2104330629","2025-10-10 12:21:33","2025-10-10 12:25:33","OA09","Solo - A - Familiar",,,,,"NAN",,"4 minutos","12 segundos","3.9","2.9","3.8","1.5","3.1","3","1.1","3","4.1","3","Estive focado na performance musical."
